load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,4.93604,0.343793,5.27983
North,2025011512,4.2341,-0.0102348,4.22386
North,2025011600,4.2341,0.517748,4.75185
North,2025011612,4.2341,0.200958,4.43506
North,2025061500,4.2341,-0.0102348,4.22386
North,2025061512,6.3358,0,6.3358
North,2035011512,6.3358,0,6.3358
Central,2025011500,4.26519,-0.358118,3.90707
Central,2025011512,3.98437,-0.816468,3.1679
Central,2025011600,4.3408,-0.539321,3.80148
Central,2025011612,4.09238,-0.607688,3.48469
Central,2025061500,4.0538,-0.885906,3.1679
Central,2025061512,7.36633,-3.14247,4.22386
Central,2035011512,8.04665,-3.1892,4.85744
South,2025011500,6.3358,0,6.3358
South,2025011512,6.61505,0.776716,7.39176
South,2025011600,6.86378,0,6.86378
South,2025011612,7.2285,0.374455,7.60296
South,2025061500,7.60574,0.841987,8.44773
South,2025061512,7.60574,2.95392,10.5597
South,2035011512,8.08979,2.99785,11.0876
