PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,39560823.5051057,5648446.665726655
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,18813606.00023352,2686183.9736121567
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46832336.51942475,10891871.913775343
2030,LocalTDFixedCosts,annual,11068169.152886217,2574141.9218584998
2030,FuelCostsPerPeriod,annual,9869559.096179307,2295379.250967634
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12535795.04280146,1789845.6967814695
2030,GenVariableOMCostsInTP,timepoint,6649690.449546128,1546529.2151859787
