component,npv_cost
TotalGenFixedCosts,66090771.47912569
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,27896904.17925368
TxFixedCosts,2198515.1485423
GenVariableOMCostsInTP,19974786.88991625
