component,npv_cost
TotalGenFixedCosts,75085178.157959
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,21119068.61667319
TxFixedCosts,2398398.145753939
GenVariableOMCostsInTP,17558332.77645183
